cases,deaths,per100k
1799,0,
2,0,
2137,0,inf
8,0,
186,0,
8459,0,
10,0,
166,0,
5,0,
829,0,
8,0,
3819,0,
3,0,
584,0,
1,0,
262,0,
1609,0,
2,0,
1639,0,
3,0,
127,0,
1245,0,
2880,0,
9,0,
1462,0,
2,0,
2562,0,
6,0,
2418,0,
11,0,
399,0,
1,0,
500,0,
993,0,
4,0,
761,0,
1,0,
1215,0,
4,0,
309,0,
3,0,
90,0,
63,0,
1763,0,
8,0,
22,0,
1,0,
62,0,
1858,0,
9,0,
235,0,
1,0,
2190,0,
2,0,
1033,0,
1233,0,
3,0,
292,0,
2099,0,
1,0,
3999,0,
5,0,
343,0,
3662,0,
12,0,
1891,0,
1,0,
127,0,
2482,0,
5,0,
4876,0,
6,0,
812,0,
1,0,
655,0,
7,0,
1047,0,
2920,0,
1,0,
1506,0,
2,0,
581,0,
1,0,
447,0,
2,0,
2041,0,
8,0,
2912,0,
13,0,
1,0,
2957,0,
12,0,
1,0,
295,0,
798,0,
1090,0,
2,0,
3924,0,
6,0,
2116,0,
8,0,
394,0,
15,0,
505,0,
1,0,
5822,0,
17,0,
4717,0,
8,0,
2135,0,
1,0,
1918,0,
13,0,
2368,0,
6,0,
1332,0,
3,0,
1982,0,
4,0,
