prov,year,cases
กระบี่,2018,1799
กรุงเทพมหานคร,2018,2137
กาฬสินธุ์,2018,186
ขอนแก่น,2018,8459
จันทบุรี,2018,166
ฉะเชิงเทรา,2018,829
ชลบุรี,2018,3819
ชัยนาท,2018,584
ชัยภูมิ,2018,262
ชุมพร,2018,1609
ตรัง,2018,1639
ตาก,2018,127
นครนายก,2018,1245
นครปฐม,2018,2880
นครราชสีมา,2018,1462
นครศรีธรรมราช,2018,2562
นครสวรรค์,2018,2418
นนทบุรี,2018,399
นราธิวาส,2018,500
น่าน,2018,993
บุรีรัมย์,2018,761
ปทุมธานี,2018,1
ประจวบคีรีขันธ์,2018,1215
ปราจีนบุรี,2018,309
ปัตตานี,2018,90
พระนครศรีอยุธยา,2018,63
พะเยา,2018,1763
พังงา,2018,22
พิจิตร,2018,62
พิษณุโลก,2018,1858
ภูเก็ต,2018,235
มหาสารคาม,2018,2190
มุกดาหาร,2018,1033
ระนอง,2018,1233
ระยอง,2018,292
ราชบุรี,2018,2099
ร้อยเอ็ด,2018,3999
ลพบุรี,2018,343
ลำปาง,2018,3662
ลำพูน,2018,1891
ศรีสะเกษ,2018,127
สกลนคร,2018,2482
สงขลา,2018,4876
สตูล,2018,812
สมุทรปราการ,2018,655
สมุทรสงคราม,2018,1047
สมุทรสาคร,2018,2920
สระบุรี,2018,1506
สระแก้ว,2018,581
สิงห์บุรี,2018,447
สุพรรณบุรี,2018,2041
สุราษฎร์ธานี,2018,2912
สุรินทร์,2018,2957
สุโขทัย,2018,295
หนองคาย,2018,798
อำนาจเจริญ,2018,1090
อุดรธานี,2018,3924
อุตรดิตถ์,2018,2116
อุบลราชธานี,2018,394
อ่างทอง,2018,505
เชียงราย,2018,5822
เชียงใหม่,2018,4717
เพชรบุรี,2018,2135
เพชรบูรณ์,2018,1918
เลย,2018,2368
แพร่,2018,1332
แม่ฮ่องสอน,2018,1982
