prov,year,rows_parsed,rows_raw,share_parsed_vs_prov_total
กระบี่,2018,1799,4377,0.411
กรุงเทพมหานคร,2018,2137,5334,0.4006
กาฬสินธุ์,2018,186,587,0.3169
ขอนแก่น,2018,8459,20732,0.408
จันทบุรี,2018,166,294,0.5646
ฉะเชิงเทรา,2018,829,1901,0.4361
ชลบุรี,2018,3819,9137,0.418
ชัยนาท,2018,584,1450,0.4028
ชัยภูมิ,2018,262,502,0.5219
ชุมพร,2018,1609,3937,0.4087
ตรัง,2018,1639,3993,0.4105
ตาก,2018,127,315,0.4032
นครนายก,2018,1245,2927,0.4254
นครปฐม,2018,2880,7021,0.4102
นครราชสีมา,2018,1462,3550,0.4118
นครศรีธรรมราช,2018,2562,6393,0.4008
นครสวรรค์,2018,2418,5845,0.4137
นนทบุรี,2018,399,1044,0.3822
นราธิวาส,2018,500,1027,0.4869
น่าน,2018,993,2443,0.4065
บุรีรัมย์,2018,761,1732,0.4394
ปทุมธานี,2018,1,1,1.0
ประจวบคีรีขันธ์,2018,1215,2825,0.4301
ปราจีนบุรี,2018,309,855,0.3614
ปัตตานี,2018,90,210,0.4286
พระนครศรีอยุธยา,2018,63,106,0.5943
พะเยา,2018,1763,4556,0.387
พังงา,2018,22,23,0.9565
พิจิตร,2018,62,100,0.62
พิษณุโลก,2018,1858,4634,0.4009
ภูเก็ต,2018,235,270,0.8704
มหาสารคาม,2018,2190,5328,0.411
มุกดาหาร,2018,1033,2461,0.4197
ระนอง,2018,1233,3113,0.3961
ระยอง,2018,292,660,0.4424
ราชบุรี,2018,2099,5410,0.388
ร้อยเอ็ด,2018,3999,9850,0.406
ลพบุรี,2018,343,826,0.4153
ลำปาง,2018,3662,9099,0.4025
ลำพูน,2018,1891,4418,0.428
ศรีสะเกษ,2018,127,135,0.9407
สกลนคร,2018,2482,6283,0.395
สงขลา,2018,4876,10334,0.4718
สตูล,2018,812,1900,0.4274
สมุทรปราการ,2018,655,1643,0.3987
สมุทรสงคราม,2018,1047,2481,0.422
สมุทรสาคร,2018,2920,7600,0.3842
สระบุรี,2018,1506,3530,0.4266
สระแก้ว,2018,581,1295,0.4486
สิงห์บุรี,2018,447,1245,0.359
สุพรรณบุรี,2018,2041,5000,0.4082
สุราษฎร์ธานี,2018,2912,7241,0.4022
สุรินทร์,2018,2957,7181,0.4118
สุโขทัย,2018,295,695,0.4245
หนองคาย,2018,798,1887,0.4229
อำนาจเจริญ,2018,1090,2522,0.4322
อุดรธานี,2018,3924,9476,0.4141
อุตรดิตถ์,2018,2116,5097,0.4151
อุบลราชธานี,2018,394,926,0.4255
อ่างทอง,2018,505,1263,0.3998
เชียงราย,2018,5822,14552,0.4001
เชียงใหม่,2018,4717,11265,0.4187
เพชรบุรี,2018,2135,5155,0.4142
เพชรบูรณ์,2018,1918,4832,0.3969
เลย,2018,2368,5805,0.4079
แพร่,2018,1332,3284,0.4056
แม่ฮ่องสอน,2018,1982,4870,0.407
